Year,Growth-Price,Inflation
31-12-2001,4.824,3.7793
31-12-2002,3.804,4.2972
31-12-2003,7.8604,3.8059
31-12-2004,7.9229,3.7673
31-12-2005,7.9234,4.2463
31-12-2006,8.0607,5.7965
31-12-2007,7.6608,6.3729
31-12-2008,3.0867,8.3493
31-12-2009,7.8619,10.8824
31-12-2010,8.4976,11.9894
31-12-2011,5.2413,8.9118
31-12-2012,5.4564,9.479
31-12-2013,6.3861,10.0179
31-12-2014,7.4102,6.6657
31-12-2015,7.9963,4.907
31-12-2016,8.2563,4.9482
31-12-2017,6.7954,3.3282
31-12-2018,6.4539,3.9388
31-12-2019,3.8714,3.7295
31-12-2020,-5.8311,6.6234
31-12-2021,9.0503,5.1314
31-12-2022,7.2397,6.699
31-12-2023,7.83,6.5
31-12-2024,6.81,6.5
31-12-2025,6.46,6.5
31-12-2026,6.47,6.5
31-12-2027,6.45,6.5
31-12-2028,6.44,6.5
31-12-2029,6.5,6.5
